INJ-1011,L,1,100006,ESTUDIO DEL TRABAJO I,EST. DEL TRAB. I
INC-1023,L,1,100006,PROCESOS DE FABRICACION,PROC. DE FAB.
INC-1013,L,1,100002,FISICA,FÍSICA
INC-1005,L,1,100004,ALGORITMOS Y LENGUAJES DE PROGRAMACION,ALG. Y LENG. DE PROG.
INC-1018,L,1,100006,INVESTIGACION DE OPERACIONES I,INV. DE OPER. I
AEF-1025,L,1,100002,ESTADISTICA INFERENCIAL II,EST. INF. II
INJ-1012,L,1,100006,ESTUDIO DEL TRABAJO II,EST. DEL TRAB. II
INF-1016,L,1,100006,HIGIENE Y SEGURIDAD INDUSTRIAL,HIG. Y SEG. IND.
INR-1003,L,1,100006,ADMINISTRACION DE PROYECTOS,ADM. DE PROYECTOS
AEC-1392,L,1,100006,GESTION DE COSTOS,GEST. DE COSTOS
INC-1001,L,1,100006,ADMINISTRACION DE LAS OPERACIONES I,ADM. DE LAS OPER. I
INC-1019,L,1,100006,INVESTIGACION DE OPERACIONES II,INV. DE OPER. II
INF-1007,L,1,100006,CONTROL ESTADISTICO DE LA CALIDAD,CONT. EST. DE LA CAL.
INF-1010,L,1,100006,ERGONOMIA,ERGONOMÍA
AEC-1037,L,1,100002,INGENIERIA ECONOMICA,ING. ECONÓMICA
INC-1002,L,1,100006,ADMINISTRACION DE LAS OPERACIONES II,ADM. DE LAS OPER. II
INC-1027,L,1,100006,SIMULACION,SIMULACIÓN
INC-1004,L,1,100006,ADMINISTRACION DEL MANTENIMIENTO,ADM. DEL MANTO.
AED-1044,L,1,100005,MERCADOTECNIA,MERCADOTECNIA
INC-1021,L,1,100005,PLANEACION FINANCIERA,PLAN. FINANC.
INC-1022,L,1,100006,PLANEACION Y DISEÑO DE  INSTALACIONES,PLAN. Y DIS. DE INST.
INF-1028,L,1,100006,SISTEMA DE MANUFACTURA,SIST. DE MANUF.
INH-1020,L,1,100006,LOGISTICA Y CADENAS DE SUMINISTRO,LOG. Y CAD. DE SUM.
INC-1015,L,1,100006,GESTION DE LOS SISTEMAS DE CALIDAD,GEST. DE LOS SIST. DE CAL.
AED-1030,L,1,100006,FORMULACION Y EVALUACION DE PROYECTOS,FORM. Y EVAL. DE PROY.
INC-1026,L,1,100005,RELACIONES INDUSTRIALES,REL. INDUSTRIALES
CPC-2102,L,1,100006,PRODUCTIVIDAD HUMANA,PROD. HUM.
AED-1286,L,1,100004,PROGRAMACION ORIENTADA A OBJETOS,PROG. ORIENT. A OBJ.
AEC-1008,L,1,100005,CONTABILIDAD FINANCIERA,CONT. FIN.
AEC-1058,L,1,100002,QUIMICA,QUÍMICA
AEF-1052,L,1,100002,PROBABILIDAD Y ESTADISTICA,PROB. Y EST.
AED-1026,L,1,100004,ESTRUCTURA DE DATOS,EST. DE DATOS
SCC-1005,L,1,100005,CULTURA EMPRESARIAL,CULT. EMP.
SCC-1013,L,1,100006,INVESTIGACIÓN DE OPERACIONES,INV. DE OPER.
AEC-1061,L,1,100004,SISTEMAS OPERATIVOS,SIST. OPER.
SCF-1006,L,1,100002,FÍSICA GENERAL,FÍSICA GRAL.
ACF-0905,L,1,100002,ECUACIONES DIFERENCIALES,ECUAC. DIF.
SCC-1017,L,1,100004,MÉTODOS NUMÉRICOS,MET. NUM.
SCD-1027,L,1,100004,TÓPICOS AVANZADOS DE PROGRAMACIÓN,TOP. AVAN. DE PROG.
AEF-1031,L,1,100004,FUNDAMENTOS DE BASE DE DATOS,FUND. DE BASE DE DAT.
SCA-1026,L,1,100004,TALLER DE SISTEMAS OPERATIVOS,TALL. DE SIST. OPER.
SCD-1018,L,1,100004,PRINCIPIOS ELÉCTRICOS Y APLICACIONES DIGITALES,PRINC. ELEC. Y APLIC.L DIG.
AEC-1034,L,1,100004,FUNDAMENTOS DE TELECOMUNICACIONES,FUND. DE TELECOM.
SCA-1025,L,1,100004,TALLER DE BASE DE DATOS,TALL.DE BASE DE DAT.
SCD-1022,L,1,100004,SIMULACIÓN,SIMULACIÓN
SCC-1007,L,1,100004,FUNDAMENTOS DE INGENIERÍA DE SOFTWARE,FUND. DE ING. DE SOFTWARE
SCD-1003,L,1,100004,ARQUITECTURA DE COMPUTADORAS,ARQ. DE COMP.
SCD-1015,L,1,100004,LENGUAJES Y AUTÓMATAS I,LENG. Y AUT. I
